ID,Name,Price,Size,Age,Floor,Location,Tags
0263fd287653983,我是映雪⛄️臨文山特區\/正義車站\/稀有清幽靜謐車墅,15680000,70.76,33.0,5,高雄市,
0139c7287934415,❤️R15捷運站黃昏市場雙公園太普三房平車❤️,18380000,25.2,16.8,5,高雄市,"平面車位,近公園"
0eb4fd287344013,大社生活圈精美三房車位,7980000,27.99,29.5,6,高雄市,"裝潢美宅,房間皆有窗,採光佳,無暗房"
0be367287648754,❤️稀有釋出!農16特區輕豪宅-帝品苑景觀宅❤️,29980000,33.2,10.0,16,高雄市,"平面車位,景觀宅"
093ca028655481f,太普建設美術君臨,49880000,41.08,8.0,29,高雄市,"平面車位,景觀宅,近台鐵"
059811287727786,文藻首排景觀｜大地坪車庫優美透天,16800000,28.98,39.7,2,高雄市,"前後陽台,平面車位,採光佳,景觀宅,格局方正,大地坪"
07bfe628771715a,獨家⭐后花園NO2.⭐臨路併排雙車美墅,23800000,71.53,7.0,4,高雄市,近商圈
06506428726807a,稀有釋出!農16特區輕豪宅-帝品苑景觀宅,29980000,33.24,10.5,16,高雄市,"平面車位,景觀宅,裝潢美宅,近學區,近商圈"
0b67f1287920538,陳柏任左營區✅太普NEWS✅ 巨蛋捷運三房+平車,18380000,25.3,16.9,5,高雄市,平面車位
0c5d5b28736373c,【富邦大無疆】景觀兩房平車,11800000,12.14,4.0,25,高雄市,"平面車位,景觀宅,裝潢美宅,近公園,近學區,近商圈"
00e76d28733910b,亞灣三多大遠百｜捷運｜面寬5米金店面｜門口停車,7580000,13.91,46.8,1,高雄市,"免爬樓梯,近商圈,近捷運,平面車位"
0a3168287623816,臨美術景觀精美採光3+1房平面車位,19980000,29.22,12.0,8,高雄市,"廁所開窗,三面採光,雙衛浴,平面車位,景觀宅,近學區"
07f5b328790363a,美術館首排景觀✅美術園邸A✅綠化四房平車,35000000,40.88,18.9,3,高雄市,"平面車位,景觀宅"
0d52a828764360b,C29樹德家商輕軌站| 建興商圈 | 1樓庭院美寓,9280000,25.92,44.3,1,高雄市,"免爬樓梯,有庭院,近輕軌站,近學區,大面寬,近商圈,近台鐵,近公園"
0d6c3a28651292e,龍華國小大順輕軌站旁高樓美裝潢景觀屋,15800000,20.7,29.4,11,高雄市,"景觀宅,裝潢美宅,近學區,高樓層"
06a740287336566,法拍永安國中台17省道美宅透天3樓別墅拍540萬,5400000,40.88,31.0,3,高雄市,平面車位
09c42328764428e,No.1文山特區|陽光峇里島|陽台進出三房平車,13380000,22.57,19.4,5,高雄市,"平面車位,近公園,近捷運,近商圈"
01de8d287646597,No.1時尚美二房|O2鹽埕埔捷運|駁二特區 ,8500000,12.4,6.7,4,高雄市,"廁所開窗,裝潢美宅,近捷運"
