行政區,里別,村里數_現有門牌,村里數_戶籍登記,鄰數_現有門牌,鄰數_戶籍登記,戶數,人口數-合計,人口數-男,人口數-女
松山區,莊敬里,1,1,27,27,2030,5077,2420,2657
松山區,東榮里,1,1,33,32,3065,8055,3723,4332
松山區,三民里,1,1,32,32,2862,6590,3008,3582
松山區,新益里,1,1,18,18,1837,4399,2091,2308
松山區,富錦里,1,1,23,23,2145,5117,2316,2801
松山區,新東里,1,1,19,19,2034,4792,2268,2524
松山區,富泰里,1,1,20,20,2030,4448,1938,2510
松山區,介壽里,1,1,21,21,1750,4504,2121,2383
松山區,精忠里,1,1,16,16,1761,4450,2060,2390
松山區,東光里,1,1,33,33,2946,6574,3066,3508
松山區,龍田里,1,1,39,39,4383,11134,5179,5955
松山區,東昌里,1,1,12,12,1024,2642,1200,1442
松山區,東勢里,1,1,18,18,1811,4268,1989,2279
松山區,中華里,1,1,25,25,2561,6591,3042,3549
松山區,民有里,1,1,32,32,3539,8629,3948,4681
松山區,民福里,1,1,27,27,2537,5880,2727,3153
松山區,慈祐里,1,1,22,22,4334,7967,3866,4101
松山區,安平里,1,1,33,33,3639,7850,3676,4174
松山區,鵬程里,1,1,17,17,1940,4517,2098,2419
松山區,自強里,1,1,26,26,3646,8860,4094,4766
松山區,吉祥里,1,1,27,27,3355,7749,3586,4163
松山區,新聚里,1,1,30,30,3310,7555,3458,4097
松山區,復盛里,1,1,26,26,2493,5973,2809,3164
松山區,中正里,1,1,34,34,3887,10109,4711,5398
松山區,中崙里,1,1,18,18,1735,4399,2057,2342
松山區,美仁里,1,1,11,11,1337,3584,1682,1902
松山區,吉仁里,1,1,16,16,1564,4015,1908,2107
松山區,敦化里,1,1,30,30,2570,6919,3318,3601
松山區,復源里,1,1,14,14,1342,3570,1687,1883
松山區,復建里,1,1,14,14,1873,4670,2214,2456
松山區,復勢里,1,1,21,21,2653,6385,2917,3468
松山區,福成里,1,1,10,10,1025,2674,1221,1453
松山區,松基里,1,1,16,16,1506,3507,1594,1913
信義區,西村里,1,1,28,28,1817,4317,1984,2333
信義區,正和里,1,1,25,25,1896,4409,1995,2414
信義區,興隆里,1,1,14,14,1135,2510,1160,1350
信義區,中興里,1,1,14,14,1729,3301,1422,1879
信義區,新仁里,1,1,22,20,1364,3135,1442,1693
信義區,興雅里,1,1,28,28,2417,5307,2486,2821
信義區,敦厚里,1,1,22,22,2239,4874,2241,2633
信義區,廣居里,1,1,29,29,3062,7373,3452,3921
信義區,安康里,1,1,33,33,4453,10648,4973,5675
信義區,六藝里,1,1,14,14,1400,3636,1754,1882
信義區,雅祥里,1,1,20,20,2161,4887,2336,2551
信義區,五常里,1,1,15,15,1520,3526,1682,1844
信義區,五全里,1,1,22,22,2007,4627,2175,2452
信義區,永吉里,1,1,17,17,1422,3685,1837,1848
信義區,長春里,1,1,21,21,1650,3924,1901,2023
信義區,四育里,1,1,20,20,2174,5157,2487,2670
信義區,四維里,1,1,20,20,2104,4841,2230,2611
信義區,永春里,1,1,22,22,2026,4692,2277,2415
信義區,富台里,1,1,18,18,2158,4603,2086,2517
信義區,國業里,1,1,28,28,2941,7372,3503,3869
信義區,松隆里,1,1,12,12,865,2038,992,1046
信義區,松友里,1,1,21,21,2540,6562,3098,3464
信義區,松光里,1,1,23,23,2078,4606,2187,2419
信義區,中坡里,1,1,16,16,1700,4099,1980,2119
信義區,中行里,1,1,32,32,2963,7391,3597,3794
信義區,大道里,1,1,22,22,2424,5720,2734,2986
信義區,大仁里,1,1,28,26,3421,6971,3455,3516
信義區,景新里,1,1,20,20,2122,4959,2247,2712
信義區,惠安里,1,1,28,28,2535,6048,2874,3174
信義區,三張里,1,1,36,36,3599,8301,3942,4359
信義區,三犁里,1,1,23,23,2177,5072,2376,2696
信義區,六合里,1,1,35,35,2812,6480,3068,3412
信義區,泰和里,1,1,29,29,3219,7342,3427,3915
信義區,景聯里,1,1,26,26,1858,4241,1938,2303
信義區,景勤里,1,1,16,16,1633,3648,1746,1902
信義區,雙和里,1,1,24,24,2942,6774,3185,3589
信義區,嘉興里,1,1,17,17,1266,2931,1339,1592
信義區,黎順里,1,1,20,20,1768,3793,1790,2003
信義區,黎平里,1,1,24,24,2948,6602,3064,3538
信義區,黎忠里,1,1,19,19,1976,4498,2078,2420
信義區,黎安里,1,1,11,11,834,1766,793,973
大安區,德安里,1,1,20,20,2344,5551,2533,3018
大安區,仁慈里,1,1,17,17,2082,5747,2712,3035
大安區,和安里,1,1,21,21,2502,6933,3303,3630
大安區,民炤里,1,1,24,24,3309,8150,3830,4320
大安區,仁愛里,1,1,23,23,2107,4966,2239,2727
大安區,義村里,1,1,22,21,2361,5113,2357,2756
大安區,民輝里,1,1,24,24,2810,6402,2983,3419
大安區,昌隆里,1,1,15,15,1229,2893,1337,1556
大安區,誠安里,1,1,17,17,1755,3740,1678,2062
大安區,光武里,1,1,28,28,3282,7344,3295,4049
大安區,龍坡里,1,1,22,22,2299,5812,2690,3122
大安區,龍泉里,1,1,15,15,2132,5256,2451,2805
大安區,古風里,1,1,14,14,1764,4206,1992,2214
大安區,古莊里,1,1,18,18,3319,7546,3464,4082
大安區,龍安里,1,1,17,17,3669,8000,3982,4018
大安區,錦安里,1,1,18,18,2404,6374,2960,3414
大安區,福住里,1,1,17,17,2377,6544,2965,3579
大安區,永康里,1,1,10,10,1467,3872,1844,2028
大安區,光明里,1,1,11,9,1515,4042,1948,2094
大安區,錦泰里,1,1,12,11,1431,3969,1916,2053
大安區,錦華里,1,1,19,19,2256,6213,2928,3285
大安區,龍圖里,1,1,20,20,2865,6649,3005,3644
大安區,新龍里,1,1,26,26,2629,6940,3263,3677
大安區,龍陣里,1,1,15,15,1439,3318,1533,1785
大安區,龍雲里,1,1,19,19,1840,4467,2044,2423
大安區,龍生里,1,1,20,20,2562,6900,3228,3672
大安區,住安里,1,1,20,20,2291,4817,2166,2651
大安區,義安里,1,1,20,20,2217,5193,2302,2891
大安區,通化里,1,1,23,23,2609,5876,2772,3104
大安區,通安里,1,1,20,20,2282,5217,2431,2786
大安區,臨江里,1,1,15,15,1805,3984,1872,2112
大安區,法治里,1,1,12,12,1886,4370,2023,2347
大安區,全安里,1,1,17,17,1825,4224,1942,2282
大安區,群賢里,1,1,20,20,2404,5461,2458,3003
大安區,群英里,1,1,35,35,2963,6742,3073,3669
大安區,虎嘯里,1,1,12,11,1687,3629,1646,1983
大安區,臥龍里,1,1,8,8,847,2194,1014,1180
大安區,龍淵里,1,1,31,31,3491,9760,4592,5168
大安區,龍門里,1,1,13,13,1622,4495,2042,2453
大安區,大學里,1,1,24,24,3544,8612,4013,4599
大安區,芳和里,1,1,20,20,2284,5477,2587,2890
大安區,黎元里,1,1,19,19,2119,5300,2553,2747
大安區,黎孝里,1,1,24,24,3029,7429,3467,3962
大安區,黎和里,1,1,16,16,2030,4528,2093,2435
大安區,建安里,1,1,20,20,2092,4666,2049,2617
大安區,建倫里,1,1,24,24,2402,6080,2708,3372
大安區,敦安里,1,1,21,21,2421,6260,2837,3423
大安區,正聲里,1,1,16,16,1890,4488,2057,2431
大安區,敦煌里,1,1,21,21,2358,6206,2802,3404
大安區,華聲里,1,1,18,18,1720,4061,1876,2185
大安區,車層里,1,1,26,26,2488,6059,2739,3320
大安區,光信里,1,1,30,30,2944,7281,3357,3924
大安區,學府里,1,1,17,17,926,2331,1130,1201
中山區,正守里,1,1,13,13,1472,3243,1557,1686
中山區,正義里,1,1,17,17,2892,5159,2209,2950
中山區,正得里,1,1,16,16,2104,3638,1577,2061
中山區,民安里,1,1,21,21,2092,4333,2021,2312
中山區,康樂里,1,1,16,16,1539,2583,1071,1512
中山區,中山里,1,1,26,26,3990,6741,2850,3891
中山區,聚盛里,1,1,16,16,2396,3975,1679,2296
中山區,集英里,1,1,24,24,3359,6968,3094,3874
中山區,聚葉里,1,1,19,18,2042,3871,1723,2148
中山區,恆安里,1,1,15,15,2803,4968,2147,2821
中山區,晴光里,1,1,15,15,3044,5406,2283,3123
中山區,圓山里,1,1,15,15,1996,4037,1804,2233
中山區,劍潭里,1,1,22,22,1442,3690,1760,1930
中山區,大直里,1,1,35,35,3465,8759,4092,4667
中山區,成功里,1,1,21,20,2786,6710,3069,3641
中山區,永安里,1,1,34,34,3808,9273,4258,5015
中山區,大佳里,1,1,8,8,364,881,478,403
中山區,新喜里,1,1,20,20,2083,4857,2269,2588
中山區,新庄里,1,1,21,21,2166,4681,2160,2521
中山區,新福里,1,1,20,20,2264,4865,2214,2651
中山區,松江里,1,1,23,23,2564,6215,2891,3324
中山區,新生里,1,1,22,22,2096,4375,2024,2351
中山區,中庄里,1,1,21,21,2329,4838,2276,2562
中山區,行政里,1,1,19,19,3798,7092,3628,3464
中山區,行仁里,1,1,31,31,2980,7557,3536,4021
中山區,行孝里,1,1,16,16,1823,4301,2047,2254
中山區,下埤里,1,1,21,21,3051,7312,3436,3876
中山區,江寧里,1,1,24,24,2861,6724,3136,3588
中山區,江山里,1,1,26,26,3083,7230,3400,3830
中山區,中吉里,1,1,24,24,2389,5656,2633,3023
中山區,中原里,1,1,18,18,2293,4896,2258,2638
中山區,興亞里,1,1,24,24,2611,5443,2456,2987
中山區,中央里,1,1,17,17,1667,3712,1740,1972
中山區,朱馥里,1,1,27,27,2472,5674,2601,3073
中山區,龍洲里,1,1,28,28,2128,4807,2173,2634
中山區,朱園里,1,1,23,23,2258,4471,2015,2456
中山區,埤頭里,1,1,17,17,1523,3187,1527,1660
中山區,朱崙里,1,1,16,16,1494,2980,1348,1632
中山區,力行里,1,1,30,30,2829,6078,2810,3268
中山區,復華里,1,1,24,24,2150,4572,2058,2514
中山區,金泰里,1,1,14,14,3529,8141,3890,4251
中山區,北安里,1,1,12,12,1021,2460,1160,1300
中正區,水源里,1,1,10,10,1380,2926,1343,1583
中正區,富水里,1,1,12,11,1004,2378,1166,1212
中正區,文盛里,1,1,10,10,1249,2563,1210,1353
中正區,林興里,1,1,20,20,2226,4723,2210,2513
中正區,河堤里,1,1,19,19,1963,4258,1993,2265
中正區,頂東里,1,1,24,24,2834,5724,2622,3102
中正區,網溪里,1,1,24,24,2554,5500,2543,2957
中正區,板溪里,1,1,14,14,1614,3292,1497,1795
