ID,Name,Price,Size,Age,Floor,Location,Tags
02854628584294a,南港三鐵車站黃金三樓☞中信房屋▊陳慶洋▊,23880000,20.93,46.0,3.0,台北市,"近公園,格局方正"
09a7b8286651496,雙敦學區低總兩房,18380000,16.92,54.3,2.0,台北市,"近學區,格局方正"
09949d28694981d,文山❤️萬芳醫院捷運3房❤️21世紀阿偉,19800000,34.69,43.4,3.0,台北市,
0d97a4286231754,附中學區近大安站亨利美廈,69880000,44.88,51.6,5.0,台北市,"近捷運,近學區,次頂樓,格局方正"
011a3d28517700c,莒光路黑金待都更透天,18000000,11.18,80.3,1.0,台北市,
029c3a27644152d,師大名人居\/\/獨棟華廈\/\/附雙車位,69000000,34.09,21.2,7.0,台北市,"雙車位,獨棟"
0ca24b285675336,士林低總價三樓採光宅,15880000,20.86,44.1,3.0,台北市,"近學區,格局方正"
00882128710277e,信義區公所黃金二樓,25980000,28.1,54.0,2.0,台北市,無暗房
059bd328597147e,GZ4首都帝景綠蔭四房坡車,43380000,29.89,6.8,2.0,台北市,"平面車位,格局方正,近商圈"
0ddf4d28694870e,內湖❤️墅琴大庭院電梯別墅❤️21世紀阿偉,166000000,149.41,18.1,0.0,台北市,"平面車位,有庭院"
024951286417147,松江南京高樓純辦,50000000,50.03,46.9,8.0,台北市,"房間皆有窗,景觀宅,邊間,裝潢美宅,高樓層,格局方正,近商圈"
014f2d287163160,民生社區亮麗店面,40000000,11.28,51.3,1.0,台北市,免爬樓梯
0be65f285746157,士北科璞園明璞晛電梯,69800000,29.51,0.0,3.0,台北市,"平面車位,近捷運,近公園,格局方正"
0fa559287150972,❤️景觀101頂佳❤️大師房屋,44680000,33.58,44.0,7.0,台北市,景觀宅
036a6d287066986,松山☘️新東富民公園3樓☘️21世紀徐儀婷,29880000,33.59,50.6,3.0,台北市,"採光佳,景觀宅,邊間"
088844285867405,北市正馬路優質辦公,32000000,25.54,39.5,2.0,台北市,
0a058228607004b,【圓璽不動產】珮綵❖獨賣安家藏玉三房車位,63000000,21.3,0.0,16.0,台北市,"平面車位,近學區"
0d66e4285942343,翔譽之心高樓邊間２房,32000000,13.98,12.2,20.0,台北市,"景觀宅,邊間,裝潢美宅,高樓層"
0b603628550839c,文山景美台大新生活(B3車位),2800000,0.0,30.0,0.0,台北市,"平面車位,景觀宅,近商圈"
07eddc287151047,超低公設❤️敦南逸園四房車位❤️大師房屋,51880000,31.81,35.0,6.0,台北市,平面車位
