ID,Name,Price,Size,Age,Floors,Bedroom,City,Location,HouseType,Pattern,Tags,Environment,Url,Image_name,CP_value
1,中和保健路車庫1樓、住家辦公近捷運,29000,30,0,1,3,新北市,新北市中和區保健路,公寓,3房2廳1衛 - 2陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0518c2292878842,,0
2,台中北區 櫻花道套房 近國軍醫院大潤發科博館,6500,5,0,2,1,台中市,台中市北區太原路一段,公寓,1房1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=092681292837978,,0
3,A22機捷夜市學區奢華全新套房非仲介免服務費可租補,17800,13.78,31,11,1,桃園市,桃園市中壢區中央西路二段/中央貴族,電梯大廈,1房1廳1衛 - 1陽台1廚房,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0439e9292721000,,0
4,近成大暨醫院、二中、台南醫院、台南公園、轉運站,5500,5,30,5,1,台南市,台南市北區公園北路,透天厝,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0ca6fd292506107,,0
5,台中市精密機械園區-廠房出租(B1~5F),1680000,1972,0,5,0,台中市,台中市南屯區精科中一路,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=056658292329239,,0
6,小巨蛋站/邊間店面/輕食 飲料 服飾皆可,120000,15.37,0,1,0,台北市,台北市松山區南京東路四段,電梯大廈,,,"有對外窗, 為邊間",https://www.rakuya.com.tw/rent/rent_item?ehid=0a582c292296736,,0
7,"知名電梯華廈,頂級全新裝潢,近捷運亞東醫院站/科學",23000,18,0,6,1,新北市,新北市板橋區貴興路/誠都,電梯大廈,1房1廳1衛 - 1陽台,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0ec92e292038432,,0
8,巨蛋捷運瑞豐商圈店面1+2樓(謝絕餐飲業),38000,40,43,2,0,高雄市,高雄市鼓山區華榮路,透天厝,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0f9918292030127,,0
9,笛布斯專任~僑泰電梯視野二房台水電大陽台可開伙可寵,13000,27.24,30,10,2,台中市,台中市南區南和一街/德昌中華,電梯大廈,2房1廳1衛 - 1陽台1廚房,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=009e89291929012,,0
10,運河電梯套房(另有多間雅房跟美甲工作室),7500,5,0,3,1,台南市,台南市安平區華平路,別墅,1房1衛,,"有對外窗, 為邊間",https://www.rakuya.com.tw/rent/rent_item?ehid=0ba21729177054c,,0
11,近六合夜市商圈.美麗島捷運站.高雄火車站,15000,15,50,1,0,高雄市,高雄市新興區民主橫路,透天厝,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0b775229165354b,,0
12,板橋電梯高樓可租補✨近商圈和室雅居✨全新裝潢車+管,33000,12,0.4,24,1,新北市,新北市板橋區板城路/高妍植3水璟苑,電梯大廈,1房1廳1衛 - 1室1陽台1廚房,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0d686c29149217d,,0
13,中和民享街近環球購物、民享市場、捷運便利、可炊,9000,6,32,4,6,新北市,新北市中和區民享街,公寓,6房6衛,,"有對外窗, 為邊間, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=07cb3920796538e,,0
14,全新屋 屋主直租 三房二衛 平面車位 含機車,27000,44.13,0.5,2,3,新北市,新北市淡水區濱海路二段/佳昂新家,電梯大廈,3房2廳2衛 - 1陽台1廚房,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0e22b5283656442,,0
15,美麗堡電梯華廈,32000,58,25,13,4,新北市,新北市五股區西雲路/美麗堡,電梯大廈,4房2廳2衛 - 2陽台2廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=03f9f3291370103,,0
16,臺南東區榮譽街雙人套房包網路第四台,5700,7.5,14.4,4,1,台南市,台南市東區榮譽街,透天厝,1房1衛,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0bed5322474255e,,0
17,可租補｜大智國小｜火車站｜新時代百貨公司,26000,24.57,4,3,3,台中市,台中市東區大智路/寶睿新湛,電梯大廈,3房2廳2衛 - 2廚房,,"有對外窗, 為邊間, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=01373b29073074c,,0
18,❤️高詢問度❤️梧棲全新透天套房❤️含電梯,8000,5,1,4,1,台中市,台中市梧棲區港埠路一段,華廈,1房1衛 - 1陽台,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=06cc60270953417,,0
19,民生萬吉2房2衛明亮樓寓,32000,31.28,8.1,7,2,台南市,台南市中西區民生路二段/民生萬吉,電梯大廈,2房2廳2衛 - 1陽台1廚房,,"有對外窗, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=0b191a289778414,,0
20,中山路特區精裝輕豪宅平面大車位設備齊全,17000,12.6,1.1,5,1,台中市,台中市沙鹿區光明街/佳格心悅,電梯大廈,1房1廳1衛 - 1陽台1廚房,,"有對外窗, 為邊間, 陽台",https://www.rakuya.com.tw/rent/rent_item?ehid=08b7d8290900405,,0
21,板橋三民路透天店面 近板橋家樂福商圈,60000,54,35.4,2,0,新北市,新北市板橋區三民路二段,透天厝,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0e5306273540945,,0
22,獨立套房,4800,8,15.6,4,3,彰化縣,彰化縣秀水鄉彰水路二段,公寓,3房,,有對外窗,https://www.rakuya.com.tw/rent/rent_item?ehid=0252bc263928595,,0
23,科定A3商辦大樓鄰近A3捷運站新莊全新裝潢辦公室,184800,100,0,11,0,新北市,新北市新莊區福慧路,辦公,,,陽台,https://www.rakuya.com.tw/rent/rent_item?ehid=0e27b5274283935,,0
24,A7 甲子園三房平車含管出租中,33000,38,2.1,16,3,桃園市,桃園市龜山區文化一路/竹城甲子園,電梯大廈,3房2廳2衛 - 1陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=00ec26290289073,,0
25,A7竹城甲子園 四房平車含管出租中,43000,51,2.1,13,4,桃園市,桃園市龜山區文化一路/A7地王竹城甲子園,電梯大廈,4房2廳2衛 - 1陽台1廚房,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0ad80b290295675,,0
26,蔡Sir力推關連唯有三千坪三照廠,1000000,3000,0,0,0,台中市,台中市龍井區台西南路,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=05088d28381373f,,0
27,惠買房．惠賣房｜近車站超大三房平車景觀戶,23888,32.43,9.5,12,3,苗栗縣,苗栗縣竹南鎮三平路/東站雙城,電梯大廈,3房2廳2衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=0520f1290140976,,0
28,關廟區保東一街廠房(租),120000,421.2,31.1,0,0,台南市,台南市關廟區保東一街,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=07752529094191d,,0
29,含管理費（自租）百達君品簡約渡假兩房,24000,24,3,15,2,高雄市,高雄市前鎮區籬仔內路/百達君品,電梯大廈,2房1廳1衛,,,https://www.rakuya.com.tw/rent/rent_item?ehid=04789e218056217,,0
30,276坪廠房出租（二層）近廣豐新天地,207000,276,0.1,2,0,桃園市,桃園市桃園區國際路一段,廠房,,,,https://www.rakuya.com.tw/rent/rent_item?ehid=01bda0291265700,,0
